video_id,song_title,channel_name,original_title,audio_file
iIhtQZcIGRM,LA_VACUNA_I_PEPET_I_MARIETA_feat._The_Tyets_(videoclip_oficial),Pepet i marieta,LA VACUNA I PEPET I MARIETA feat. The Tyets (videoclip oficial),iIhtQZcIGRM_LA_VACUNA_I_PEPET_I_MARIETA_feat._The_Tyets_(videoclip_oficial).mp3
3ynY-oFi2iw,Un_Sant_Jordi_Diferent_·_Coreografia_Salva_Racero,SALVA RACERO OFICIAL,Un Sant Jordi Diferent · Coreografia /Salva Racero,3ynY-oFi2iw_Un_Sant_Jordi_Diferent_·_Coreografia_Salva_Racero.mp3
TA6ZR85GmRU,"-_Crema_La_Pista_(Lyric_Video)_ft._Vicco,_Feze",Siderland,"Siderland - Crema La Pista (Lyric Video) ft. Vicco, Feze","TA6ZR85GmRU_-_Crema_La_Pista_(Lyric_Video)_ft._Vicco,_Feze.mp3"
6BvXxvHSWoc,Èxits_actuals_del_pop_català_ELS40,LOS40,Èxits actuals del pop català | ELS40,6BvXxvHSWoc_Èxits_actuals_del_pop_català_ELS40.mp3
GtDFfPoEu2c,Siderland_–_Que_esclati_tot_(Que_estalle_todo)_Benidorm_Fest_2023_Segunda_Semifinal,RTVE Música,Siderland – “Que esclati tot (Que estalle todo)” | Benidorm Fest 2023 | Segunda Semifinal,GtDFfPoEu2c_Siderland_–_Que_esclati_tot_(Que_estalle_todo)_Benidorm_Fest_2023_Segunda_Semifinal.mp3
F0POZq4i9Pk,-_Houston_(Videoclip_Oficial),Sexenni,Sexenni - Houston (Videoclip Oficial),F0POZq4i9Pk_-_Houston_(Videoclip_Oficial).mp3
y3_WMqkqAYY,SECR3T,Julieta,SECR3T,y3_WMqkqAYY_SECR3T.mp3
ynu0WEp0qHQ,-_Digue'm_(Videoclip_oficial),Roger Padrós,Roger Padrós - Digue'm (Videoclip oficial),ynu0WEp0qHQ_-_Digue'm_(Videoclip_oficial).mp3
3rYWx19BO_E,-_No_Vull_Despertar,Edu Esteve,Edu Esteve - No Vull Despertar,3rYWx19BO_E_-_No_Vull_Despertar.mp3
vuchHRzzfqg,-_Et_deixo_la_mà_(Videoclip_Oficial),Mariona Escoda,Mariona Escoda - Et deixo la mà (Videoclip Oficial),vuchHRzzfqg_-_Et_deixo_la_mà_(Videoclip_Oficial).mp3
4jeO9IzzZH4,PORTO_BELLO_Cantar-te_(📽️videoclip_oficial),Portobello Música,PORTO BELLO - Cantar-te (📽️videoclip oficial),4jeO9IzzZH4_PORTO_BELLO_Cantar-te_(📽️videoclip_oficial).mp3
vrKoun8GQmI,JORDI_NINUS_BENVINGUT_(videoclip_oficial),Jordi Ninus Oficial,JORDI NINUS - BENVINGUT (videoclip oficial),vrKoun8GQmI_JORDI_NINUS_BENVINGUT_(videoclip_oficial).mp3
35tCeJyG8G4,x_The_Tyets_x_Julieta_Xuculatina_REMIX,Figa Flawas,Figa Flawas x The Tyets x Julieta - Xuculatina REMIX,35tCeJyG8G4_x_The_Tyets_x_Julieta_Xuculatina_REMIX.mp3
jCZa4o94LNM,Els_Amics_de_Manel_Chao_Chao_(Videoclip_Oficial),Els Amics De Manel,Els Amics de Manel - Chao Chao (Videoclip Oficial),jCZa4o94LNM_Els_Amics_de_Manel_Chao_Chao_(Videoclip_Oficial).mp3
D_8oyn2tby8,-_La_Primavera,Edu Esteve,Edu Esteve - La Primavera,D_8oyn2tby8_-_La_Primavera.mp3
3XQB1d1sAQ0,De_Lao,Sexenni - Topic,De Lao,3XQB1d1sAQ0_De_Lao.mp3
5g7UR5dWHrI,-_Aire_(Llengua_de_signes),Roger Padrós,Roger Padrós - Aire (Llengua de signes),5g7UR5dWHrI_-_Aire_(Llengua_de_signes).mp3
OFjLhASUmPc,-_Ni_La_Moto,Lau Gibert,Lau Gibert - Ni La Moto,OFjLhASUmPc_-_Ni_La_Moto.mp3
7I6Ku7EnctA,T'acostes_(Marsal_Ventura_Remix),Malson Atmosfèric,T'acostes (Marsal Ventura Remix),7I6Ku7EnctA_T'acostes_(Marsal_Ventura_Remix).mp3
OFlU0IEjPBY,-_BOO_(prod._Kashlo),dani6ix,dani6ix - BOO (prod. Kashlo),OFlU0IEjPBY_-_BOO_(prod._Kashlo).mp3
